"Brand_Reg","count"
"aiwa",22
"akai",39
"altius",6
"aoa",4
"ark",1
"avel innovations",3
"bauhn",84
"blaupunkt",123
"brooklyn",1
"caixun",94
"chiq",45
"concentric care",1
"decamax",1
"devanti",7
"dgtec",7
"dynalink",1
"eko",199
"elitelux",1
"englaon",31
"ffalcon",21
"furrion",4
"gorilla",6
"hisense",208
"hitachi",8
"hubbl",1
"hubbl glass",2
"hyundai",11
"iluma",14
"jvc",103
"kodak",5
"kogan",605
"konic",15
"konka",30
"lad",1
"lg",641
"linsar",47
"loewe",14
"lsp tv",1
"metz",7
"mitsumaru",1
"monster",4
"myvi",3
"palsonic",2
"panasonic",62
"philips",157
"polaroid",21
"prism+",8
"q.bell",2
"qbell",7
"s vision",1
"samsung",171
"samsung electronics",891
"sharetv",1
"sharp",11
"shenzhen xinchaoda technology co., ltd",4
"signify",1
"skyworth",9
"smarttech",5
"smtv",6
"soniq",11
"sony",90
"sphere",13
"stan cash",1
"starvision",2
"svision",8
"sylvox",34
"tavice",1
"tcl",100
"teac",29
"teco",12
"telefunken",3
"thomson",7
"toshiba",37
"vdt",1
"veon",31
"viano",2
"walton",24
"yokohama",4
